"Lot Width ","Maximum Building Height ","Six Feet from Building Corner ",
"(feet) ","(feet) ","(feet) ",
"70 ","27 ","27.5 ",
"75 ","27.5 ","28 ",
"Greater than 75 ","28 ","28.5 ",





