,Minimum Area,Minimum Front,Minimum Depth,Maximum Height
RURAL RESIDENTIAL ZONE (R1),,,,
Residence and other structure,2 acres,200',300',30'
Seasonal Dwelling,2 acres,200',300*,30'
NEIGKBORHOOD BUSINESS ZONE (a1),,,,
All Structures,1 acre,200',200',30'
