,Coverage,Front,Side,Rear
RURAL RESIDENTIAL ZONE (R1),,,,
Residence and other structure Seasonal Dwelling,15% 15%,50' 100',25* 75',25' 25'
NEICHBORROOD BUSINESS ZONE (m1),,,,
All Structures,40%,50',50',50'
